TimeStamp,.[Puffing2.FLOW_FT20530],.[Puffing2.Flow_FT20530.],.[Puffing2.FLOW_FT24540],.[Puffing2.Flow_FT24540.],.[Puffing2.Flow_Rate_FP6.],.[Puffing2.Flow_Rate_FP7.],.[Puffing2.FLOW_RATE_FP8.],.[Puffing2.Motor_EM2152.0],.[Puffing2.MOTOR_EM25560],.[Puffing2.Motor_EM25560.],.[Puffing2.MOTOR_EM25570],.[Puffing2.MOTOR_EM25570.],.[Puffing2.PID_PT2051.Out],.[Puffing2.PID_PT2051.PV],.[Puffing2.PID_PT2051.SP],.[Puffing2.PID_TT2051.out],.[Puffing2.PID_TT2051.PV],.[Puffing2.PID_TT2051.SP],.[Puffing2.PID_TT2454O.Out],.[Puffing2.PID_TT2454O.PV],.[Puffing2.PID_TT2454O.SP],.[Puffing2.PRESS_DPT2357.0],.[Puffing2.PRESS_DPT23570],.[Puffing2.Press_PT20510.],.[Puffing2.Press_PT2152.0],.[Puffing2.TEMP_TE20510],.[Puffing2.Temp_TE20510.],.[Puffing2.TEMP_TE2454I.0],.[Puffing2.TEMP_TE2454O0.],.[Puffing2.TEMP_TE2455I0],.[Puffing2.TEMP_TE2455O0],.[Puffing2.TEMP_TE24600]
3/1/2025 0:55,192.1154327,191.7292633,113.8013535,114.0115051,6.392949581,6.064960003,6.96369648,179.3758545,4.992331505,5.098562717,4.952978134,4.939654827,64.59632111,92.52152252,92.5,99.99092865,353.4908752,360,60.12768173,475.2485657,472.0101318,0.093307108,0.129913494,92.74432373,76.87503052,353.4908752,353.2645874,376.5542908,475.2084656,170.2281494,76.24904633,85.85064697
3/1/2025 1:00,195.6772003,196.0129242,112.981636,113.0761108,6.392529011,6.06543684,6.853988647,179.1123047,4.991049767,5.099902153,4.953203201,4.939824104,64.5838623,92.59127808,92.49996948,99.99048615,352.9480591,360,59.26026917,472.1030579,472.010498,0.095781222,0.128056616,92.4930191,76.76132202,352.9480591,353.1600647,376.7277222,472.0687561,170.1839447,76.14168549,85.78315735
3/1/2025 1:05,196.210495,196.2357025,113.0185242,113.0370483,6.392107964,6.065913677,7.034069061,179.4762878,4.989767551,5.101241589,4.953428268,4.939993382,67.02584076,92.52736664,92.49993896,99.99004364,352.3737183,360,61.03553009,470.125946,472.0108337,0.098255344,0.126199737,92.35887146,76.62660217,352.3737183,352.5354919,376.7710266,470.0709229,170.13974,76.03432465,85.71566772
3/1/2025 1:10,194.8540649,195,112.9578934,113.2470627,6.391687393,6.066390514,6.127049446,179.7576294,4.990214825,5.102581024,4.953653336,4.940162182,64.81827545,92.70318604,92.49990845,99.98959351,352.0491638,360,64.86223602,468.9216614,472.0111694,0.100729465,0.124342866,92.66976166,76.89963531,352.0491638,352.0859985,376.6272278,468.723938,170.0955353,75.92696381,85.6481781
3/1/2025 1:15,195.5366058,196,113.075386,113.0584641,6.391266823,6.066867352,7.008822441,179.8286285,4.990922928,5.10392046,4.953878403,4.940331459,67.04013062,92.54421997,92.4998703,99.989151,351.7245789,360,68.10648346,470.1593018,472.0115356,0.103203587,0.122485988,92.55158234,76.8968811,351.7245789,351.7286987,376.483429,469.9772644,170.0513458,75.81959534,85.58068848
3/1/2025 1:20,196.9748688,196.7198334,113.5591583,113.1907196,6.390845776,6.067344189,6.151436806,179.4684143,4.991630554,5.105259895,4.95410347,4.940500736,69.18221283,92.63597107,92.49983978,99.9887085,352.166626,360,67.10193634,473.5753784,472.0118713,0.105677702,0.120629117,92.49195862,77.00174713,352.166626,352.0068359,376.3395996,473.570343,170.0071411,75.7122345,85.51319122
3/1/2025 1:25,195.5137024,195.0238342,113.7085114,113.5925446,6.390425205,6.067821026,7.031150341,179.0943451,4.992338657,5.106599331,4.954329014,4.940670013,67.14344788,92.46247101,92.49980927,99.98825836,352.9319763,360,62.86429214,475.3166809,472.012207,0.108151823,0.118772238,92.43255615,76.23558807,352.9319763,353.2200012,376.3429565,475.3493652,169.9629364,75.60487366,85.4457016
3/1/2025 1:30,195.2337341,195.141861,113.2441788,113.1895828,6.390004635,6.068297863,6.168693066,179.7838593,4.993046284,5.107938766,4.954554081,4.940839291,66.06619263,92.60518646,92.49977875,99.98781586,353.2681274,360,58.98378372,474.48349,472.0125732,0.110625945,0.116915368,92.50622559,77.07886505,353.2681274,353.2200012,376.4237671,474.3551941,169.9764557,75.49751282,85.37821198
3/1/2025 1:35,194.5,194.6403351,112.7296295,112.8898544,6.389583588,6.0687747,7.02824831,179.6340027,4.993754387,5.109278202,4.954779148,4.941008568,68.12773895,92.5340271,92.49974823,99.98737335,352.8131714,360,59.4201088,471.2164917,472.0129089,0.113100059,0.115058489,92.52310944,76.42513275,352.8131714,352.6768799,376.5046082,471.3033447,169.9940796,75.39015198,85.31072235
3/1/2025 1:40,194.2011108,194.5246429,112.4290237,112.448349,6.389163017,6.069251537,7.056832314,179.4312592,4.994462013,5.110618114,4.955004215,4.941177845,69.13713074,92.45690918,92.49971771,99.98693085,351.9664307,360,61.91604614,469.6901855,472.0132446,0.115574181,0.113201611,92.3866806,76.96276093,351.9664307,351.9785461,376.5354309,469.7331848,170.0117188,75.28279114,85.24323273
3/1/2025 1:45,197.0075073,197.1707458,112.6582718,112.7013397,6.388742447,6.069728374,7.023981571,179.2123413,4.995170116,5.11195755,4.955229282,4.941347122,70.27017975,92.70676422,92.49968719,99.98648071,351.3509216,360,65.5870285,469.2078857,472.0136108,0.118048303,0.11134474,92.6929245,76.12890625,351.3509216,351.1669312,376.4571228,468.9439697,170.0293579,75.1754303,85.17573547
3/1/2025 1:50,193.8376617,194.8395844,113.1960983,113.0532379,6.3883214,6.070205212,7.010775089,178.7905273,4.99587822,5.113296986,4.95545435,4.941515923,68.95361328,92.80722809,92.49965668,99.98603821,351.176239,360,67.62524414,470.8018799,472.0139465,0.120522417,0.109487861,92.63067627,76.78099823,351.176239,351.3509216,376.3788147,470.8472595,170.0469818,75.06806946,85.10824585
3/1/2025 1:55,195.6106873,194.1400604,112.8117599,112.8977509,6.387900829,6.070682049,7.017541409,178.8500214,4.996585846,5.114636421,4.955679417,4.9416852,67.76141357,92.48813629,92.49962616,99.9855957,352.1401672,360,64.99502563,475.1360474,472.0142822,0.122996539,0.10763099,92.49549103,76.57713318,352.1401672,351.9425354,376.3005066,475.1727905,170.064621,74.96070099,85.04075623
