TimeStamp,.[Puffing2.Flow_FT20530.],.[Puffing2.Flow_FT24540.],.[Puffing2.Flow_Rate_FP6.],.[Puffing2.Flow_Rate_FP7.],.[Puffing2.FLOW_RATE_FP8.],.[Puffing2.Motor_EM2152.0],.[Puffing2.Motor_EM25560.],.[Puffing2.MOTOR_EM25570.],.[Puffing2.PID_PT2051.Out],.[Puffing2.PID_PT2051.PV],.[Puffing2.PID_PT2051.SP],.[Puffing2.PID_TT2051.out],.[Puffing2.PID_TT2051.PV],.[Puffing2.PID_TT2051.SP],.[Puffing2.PID_TT2454O.Out],.[Puffing2.PID_TT2454O.PV],.[Puffing2.PID_TT2454O.SP],.[Puffing2.PRESS_DPT2357.0],.[Puffing2.Press_PT20510.],.[Puffing2.Press_PT2152.0],.[Puffing2.Temp_TE20510.],.[Puffing2.TEMP_TE2454I.0],.[Puffing2.TEMP_TE2454O0.],.[Puffing2.TEMP_TE2455I0],.[Puffing2.TEMP_TE2455O0],.[Puffing2.TEMP_TE24600]
8/1/25 13:09,23.58217621,0.018797182,-0.005225978,-0.002589144,-0.005341486,56.32971191,-0.03323628,0.083537318,10.52633667,3.496635675,0.972544789,99.99903107,90.01565552,356.3106995,33.35339737,84.78115845,101.9391174,-0.249877006,3.4965837,2.508850813,90.02012634,101.1058578,84.73436737,78.98191833,78.0633316,78.93843079
8/1/25 13:14,23,0.01858574,-0.005254002,-0.002617178,-0.005257503,56.52510071,-0.033277486,0.083519012,10.56262589,3.496804476,0.975911438,99.99902344,89.91970062,356.3105164,33.46525192,84.81417084,102.2809677,-0.249849781,3.496746778,2.50757575,89.92282867,101.0062561,84.76864624,79.0272522,78.12167358,79.02381897
8/1/25 13:19,24,0.0183743,-0.005284054,-0.002655617,-0.00517352,56.7204895,-0.033318695,0.083500713,10.59891605,3.496973038,0.979278147,99.99902344,89.83682251,356.3103027,33.57710266,84.8471756,102.6228256,-0.249822572,3.496909857,2.506300688,89.84035492,100.9066467,84.80292511,79.07259369,78.18001556,79.10920715
8/1/25 13:24,23,0.018162858,-0.005340116,-0.00273962,-0.005089538,56.9158783,-0.0333599,0.083482407,10.63520527,3.4971416,0.982644796,99.99901581,89.7539444,356.3101196,33.6889534,84.88018799,102.9646835,-0.249795362,3.497073174,2.505025625,89.75787354,100.807045,84.83720398,79.11793518,78.23834991,79.19458771
8/1/25 13:29,23,0.017951416,-0.005396177,-0.002823623,-0.005005555,57.11126709,-0.033401106,0.083464108,10.67149448,3.497310162,0.986011446,99.99901581,89.67106628,356.309906,33.80080795,84.91320038,103.3065414,-0.249768138,3.497236252,2.505463362,89.67539978,100.7074356,84.87148285,79.16327667,78.29669189,79.27997589
8/1/25 13:34,23.99390411,0.017739976,-0.005452239,-0.002907627,-0.004921572,57.30665588,-0.033442311,0.083445802,10.7077837,3.497478962,0.989378154,99.99900818,89.58818054,356.3097229,33.91265869,84.94621277,103.6483994,-0.249740928,3.49739933,2.505936384,89.5929184,100.6078339,84.90576172,79.20861816,78.35502625,79.36536407
8/1/25 13:39,23.8508606,0.017528534,-0.0055083,-0.00299163,-0.004837589,57.50204468,-0.033483516,0.083427504,10.74407291,3.497647524,0.992744803,99.99900818,89.50530243,356.3095093,34.02450943,84.97922516,103.9902573,-0.249713719,3.497562408,2.506409168,89.51044464,100.5082245,84.94004822,79.25395966,78.41336823,79.45074463
8/1/25 13:44,24.23319244,0.017317094,-0.005564362,-0.003075632,-0.004753607,57.69743347,-0.033524722,0.083409198,10.78036213,3.497816086,0.996111453,99.99900055,89.42242432,356.3093262,34.13636398,85.01223755,104.3321152,-0.249686494,3.497725487,2.506882191,89.42796326,100.4086227,84.97432709,79.29929352,78.47170258,79.53613281
8/1/25 13:49,24.34323502,0.017105652,-0.005620424,-0.003159636,-0.004669624,57.89282227,-0.033565927,0.083390899,10.81665134,3.497984648,0.999478102,99.99900055,89.3395462,356.3091431,34.24821472,85.04524994,104.6739731,-0.249659285,3.497888565,2.507355213,89.3454895,100.309021,85.00860596,79.34463501,78.53004456,79.62151337
8/1/25 13:54,23.26855659,0.01689421,-0.005676486,-0.003243639,-0.004585641,58.08821487,-0.033607133,0.083372593,10.85294056,3.498153448,1.00284481,99.99900055,89.25666046,356.3089294,34.36006546,85.07826233,105.0158234,-0.249632075,3.498051643,2.507828236,89.26301575,100.2094116,85.04288483,79.3899765,78.58838654,79.70690155
8/1/25 13:59,23.88392448,0.01668277,-0.005732547,-0.003327642,-0.004501658,58.28360367,-0.033648338,0.083354287,10.88922977,3.49832201,1.0062114,99.99899292,89.17378235,356.3087463,34.47192001,85.11126709,105.3576813,-0.249604851,3.498214722,2.50830102,89.18053436,100.1098099,85.0771637,79.43531799,78.64672089,79.79228973
8/1/25 14:04,23.13434029,0.016471328,-0.005788609,-0.003411645,-0.004417676,58.47899246,-0.033689544,0.083335988,10.92551899,3.498490572,1.009578109,99.99899292,89.09090424,356.3085327,34.58377075,85.14427948,105.6995392,-0.249577641,3.4983778,2.508774042,89.09806061,100.0102005,85.11144257,79.48065948,78.70506287,79.87767029
8/1/25 14:09,23.1798954,0.016259886,-0.00584467,-0.003495648,-0.004333693,58.67438126,-0.033730749,0.083317682,10.9618082,3.498659372,1.012944818,99.99898529,89.00801849,356.3083496,34.69562149,85.17729187,106.0413971,-0.249550432,3.498540878,2.509247065,89.01557922,99.91059875,85.14572144,79.52599335,78.76339722,79.96305847
8/1/25 14:14,23.35918236,0.016048446,-0.005900732,-0.003579651,-0.00424971,58.86977005,-0.033771954,0.083299384,10.99809742,3.498827934,1.016311407,99.99898529,88.92514038,356.308136,34.80747604,85.21030426,106.383255,-0.249523208,3.498704195,2.509720087,88.93310547,99.81099701,85.18000793,79.57133484,78.8217392,80.04844666
8/1/25 14:19,23.82235146,0.015837004,-0.005956794,-0.003663654,-0.004165728,59.06515884,-0.033813164,0.083281077,11.03438663,3.498996496,1.019678116,99.99897766,88.84226227,356.3079529,34.91932678,85.22821045,106.7251129,-0.249495998,3.498867273,2.510192871,88.85062408,99.71138763,85.2142868,79.61667633,78.88007355,80.13382721
8/1/25 14:24,23,0.015625564,-0.006012856,-0.003747657,-0.004081745,59.26054764,-0.033854369,0.083262779,11.0706768,3.499165058,1.023044825,99.99897766,88.75938416,356.3077698,35.03117752,85.22375488,107.0669708,-0.249468789,3.499030352,2.510665894,88.76815033,99.61178589,85.22755432,79.66201782,78.93841553,80.21921539
8/1/25 14:29,23.87187195,0.015414122,-0.006068917,-0.00383166,-0.003997762,59.45593643,-0.033895575,0.083244473,11.10696602,3.499333858,1.026411414,99.99897003,88.67649841,356.3075562,35.14303207,85.21930695,107.4088287,-0.249441579,3.49919343,2.511138916,88.68567657,99.51217651,85.22303772,79.70735931,78.99675751,80.30460358
8/1/25 14:34,23,0.015202682,-0.006124979,-0.003915663,-0.003913779,59.65132523,-0.03393678,0.083226174,11.14325523,3.49950242,1.029778123,99.99897003,88.5936203,356.307373,35.25488281,85.21485138,107.750679,-0.249414355,3.499356508,2.511611938,88.60319519,99.41257477,85.21852112,79.75270081,79.05509186,80.38998413
8/1/25 14:39,23.33278275,0.01499124,-0.00618104,-0.003999666,-0.003829797,59.84671402,-0.033977985,0.083207868,11.17954445,3.499670982,1.033144832,99.9989624,88.51074219,356.3071594,35.36673355,85.21040344,108.0925369,-0.249387145,3.499519587,2.512084961,88.52072144,99.31296539,85.21400452,79.79803467,79.11343384,80.47537231
8/1/25 14:44,23,0.014779799,-0.006237102,-0.00408367,-0.003745814,60.04210281,-0.034019191,0.083189569,11.21583366,3.499839544,1.036511421,99.9989624,88.42786407,356.3069763,35.4785881,85.20594788,108.4343948,-0.249359936,3.499682665,2.512557745,88.43824005,99.21336365,85.20948792,79.84337616,79.17176819,80.5607605
8/1/25 14:49,23,0.014568358,-0.006293164,-0.004167673,-0.003661831,60.23749161,-0.034060396,0.083171263,11.25212288,3.500008345,1.03987813,99.9989624,88.34497833,356.3067627,35.59043884,85.20149994,108.7762527,-0.249332711,3.499845743,2.513030767,88.3557663,99.1137619,85.20497131,79.88871765,79.23011017,80.64614105
8/1/25 14:54,23,0.014356917,-0.006349226,-0.004251676,-0.003577848,60.4328804,-0.034101602,0.083152965,11.28841209,3.500176907,1.043244839,99.99895477,88.26210022,356.3065796,35.70228958,85.19704437,109.1181107,-0.249305502,3.500008821,2.51350379,88.27328491,99.01415253,85.20045471,79.93405914,79.28844452,80.73152924
8/1/25 14:59,23,0.014145475,-0.006405287,-0.004335679,-0.003493866,60.6282692,-0.034142807,0.083134659,11.32470131,3.500345469,1.046611428,99.99895477,88.17922211,356.3063965,35.81414032,85.19259644,109.4599686,-0.249278292,3.500172138,2.513976812,88.19081116,98.91455078,85.19593811,79.97940063,79.3467865,80.81691742
8/1/25 15:04,23.03529549,0.013934034,-0.006461349,-0.004419682,-0.003409883,60.82365799,-0.034184013,0.08311636,11.36099052,3.500514269,1.049978137,99.99894714,88.09634399,356.3061829,35.92599487,85.18814087,109.8018265,-0.249251068,3.500335217,2.514449596,88.1083374,98.81494141,85.19142151,80.02474213,79.40512848,80.90229797
8/1/25 15:09,24,0.013722593,-0.00651741,-0.004503685,-0.0033259,61.01904678,-0.034199998,0.083098054,11.39727974,3.500682831,1.053344846,99.99894714,88.01345825,356.3059998,36.03784561,85.18369293,110.1436844,-0.249223858,3.500498295,2.514922619,88.02585602,98.71533966,85.18690491,80.07007599,79.46346283,80.98768616
8/1/25 15:14,24.5,0.013511151,-0.006573472,-0.004587688,-0.003241918,61.21443558,-0.034199998,0.083079755,11.43356895,3.500851393,1.056711435,99.99893951,87.93058014,356.3057861,36.14969635,85.17923737,110.4855347,-0.249196649,3.500661373,2.515395641,87.94338226,98.61573029,85.18238831,80.11541748,79.52180481,81.07307434
8/1/25 15:19,24,0.01329971,-0.006629534,-0.004671691,-0.003157935,61.40982437,-0.034199998,0.083061449,11.46985817,3.501019955,1.060078144,99.99893951,87.84770203,356.305603,36.2615509,85.17478943,110.8273926,-0.249169424,3.500824451,2.515868664,87.86090088,98.51612854,85.17786407,80.16075897,79.58013916,81.1584549
8/1/25 15:24,24.5,0.013088269,-0.006685595,-0.004755694,-0.003073952,61.60521317,-0.034199998,0.083043151,11.50614738,3.501188755,1.063444734,99.99893188,87.76482391,356.3053894,36.37340164,85.17034149,111.1692505,-0.249142215,3.50098753,2.516341448,87.77842712,98.41652679,85.17334747,80.20610046,79.63848114,81.24384308
8/1/25 15:29,24.5,0.012876828,-0.006741657,-0.004839697,-0.002989969,61.80060196,-0.034199998,0.083024845,11.54243755,3.501357317,1.066811442,99.99893188,87.68193817,356.3052063,36.48525238,85.16588593,111.5111084,-0.249115005,3.501150608,2.51681447,87.69594574,98.31691742,85.16883087,80.25144196,79.69682312,81.27887726
8/1/25 15:34,24.02812386,0.012665386,-0.006797719,-0.0049237,-0.002905987,61.99599075,-0.034199998,0.083006546,11.57872677,3.501525879,1.070178151,99.99893188,87.59906006,356.3049927,36.59710693,85.16143799,111.8529663,-0.249087781,3.501313686,2.517287493,87.61347198,98.21731567,85.16431427,80.29677582,79.75515747,81.27693176
8/1/25 15:39,24.1217289,0.012453945,-0.006853781,-0.005007703,-0.002822004,62.19138336,-0.034199998,0.08298824,11.61501598,3.501694441,1.073544741,99.99892426,87.51618195,356.3048096,36.70895767,85.15698242,112.1948242,-0.249060571,3.501476765,2.517760515,87.5309906,98.1177063,85.15979767,80.34211731,79.81349945,81.27498627
8/1/25 15:44,24.2756691,0.012242504,-0.006909842,-0.005091707,-0.002738021,62.38677216,-0.034199998,0.082969941,11.6513052,3.501863241,1.076911449,99.99892426,87.43330383,356.3046265,36.82080841,85.15253448,112.5366821,-0.249033362,3.501639843,2.518233538,87.44851685,98.01810455,85.15528107,80.3874588,79.8718338,81.27304077
8/1/25 15:49,23.99085999,0.012031063,-0.006965904,-0.00517571,-0.002654039,62.58216095,-0.034199998,0.082951635,11.68759441,3.502031803,1.080278158,99.99891663,87.35041809,356.3044128,36.93266296,85.14807892,112.8785324,-0.249006137,3.50180316,2.518706322,87.36604309,97.91850281,85.15076447,80.43280029,79.93017578,81.27109528
8/1/25 15:54,24.6864109,0.011819622,-0.007021965,-0.005259713,-0.002616697,62.77754974,-0.034199998,0.082933336,11.72388363,3.502200365,1.083644748,99.99891663,87.26753998,356.3042297,37.0445137,85.14363098,113.2203903,-0.248978928,3.501966238,2.519179344,87.28356171,97.81889343,85.14624786,80.47814178,79.9526825,81.26914978
8/1/25 15:59,24.04797935,0.011608181,-0.007078027,-0.005343716,-0.002588717,62.97293854,-0.034199998,0.08291503,11.76017284,3.502369165,1.087011456,99.998909,87.18466187,356.3040161,37.15636444,85.13917542,113.5622482,-0.248951718,3.502129316,2.519652367,87.20108795,97.71929169,85.14173126,80.52348328,79.93771362,81.26720428
8/1/25 16:04,26.97290993,0.01139674,-0.007134089,-0.005427719,-0.002560737,63.16832733,-0.034199998,0.082896724,11.79646206,3.502537727,1.090378165,99.998909,87.10178375,356.303833,37.26821899,85.13472748,113.9041061,-0.248924494,3.502292395,2.520125389,87.11860657,97.61968231,85.13721466,80.56881714,79.92274475,81.26525879
8/1/25 16:09,3.692210674,0.011185299,-0.007190151,-0.005511722,-0.002532757,63.36371613,-0.034199998,0.082878426,11.83275127,3.502706289,1.093744755,99.99890137,87.01889801,356.3036194,37.38006973,85.13027191,114.2459641,-0.248897284,3.502455473,2.520598173,87.03613281,97.52008057,85.13269806,80.61415863,79.90776825,81.26331329
